dataset_role,event_id,budget_b,lateral_proposal_parity,transition_proposal_parity,pair_pool_order_parity,proxy_tuple_parity,selected_top12_config_parity,candidate_digest_parity,validator_verdict_parity,hard_usable_result_parity,final_selection_parity,all_parity,native_laterals,native_transitions,native_pair_proxies,native_reconstructions,native_validator_calls
VALIDATION_SEEN_AFTER_V1,VUE026,96,1,1,1,1,1,1,1,1,1,1,28,6,96,12,11
VALIDATION_SEEN_AFTER_V1,VUE026,128,1,1,1,1,1,1,1,1,1,1,28,6,128,12,12
VALIDATION_SEEN_AFTER_V1,VUE027,64,1,1,1,1,1,1,1,1,1,1,36,7,64,12,10
VALIDATION_SEEN_AFTER_V1,VUE027,96,1,1,1,1,1,1,1,1,1,1,38,7,96,12,8
VALIDATION_SEEN_AFTER_V1,VUE027,128,1,1,1,1,1,1,1,1,1,1,38,7,128,12,9
VALIDATION_SEEN_AFTER_V1,VUE028,64,1,1,1,1,1,1,1,1,1,1,36,7,64,12,10
VALIDATION_SEEN_AFTER_V1,VUE028,96,1,1,1,1,1,1,1,1,1,1,40,7,96,12,10
VALIDATION_SEEN_AFTER_V1,VUE028,128,1,1,1,1,1,1,1,1,1,1,40,7,128,12,11
VALIDATION_SEEN_AFTER_V1,VUE029,64,1,1,1,1,1,1,1,1,1,1,36,6,64,12,10
VALIDATION_SEEN_AFTER_V1,VUE029,96,1,1,1,1,1,1,1,1,1,1,37,6,96,12,10
VALIDATION_SEEN_AFTER_V1,VUE029,128,1,1,1,1,1,1,1,1,1,1,37,6,128,12,11
VALIDATION_SEEN_AFTER_V1,VUE030,64,1,1,1,1,1,1,1,1,1,1,36,7,64,12,10
VALIDATION_SEEN_AFTER_V1,VUE030,96,1,1,1,1,1,1,1,1,1,1,38,7,96,12,10
VALIDATION_SEEN_AFTER_V1,VUE030,128,1,1,1,1,1,1,1,1,1,1,38,7,128,12,11
VALIDATION_SEEN_AFTER_V1,VUE031,64,1,1,1,1,1,1,1,1,1,1,21,6,64,12,10
VALIDATION_SEEN_AFTER_V1,VUE031,96,1,1,1,1,1,1,1,1,1,1,21,6,96,12,10
VALIDATION_SEEN_AFTER_V1,VUE031,128,1,1,1,1,1,1,1,1,1,1,21,6,126,12,10
VALIDATION_SEEN_AFTER_V1,VUE032,64,1,1,1,1,1,1,1,1,1,1,32,7,64,12,10
VALIDATION_SEEN_AFTER_V1,VUE032,96,1,1,1,1,1,1,1,1,1,1,32,7,96,12,10
VALIDATION_SEEN_AFTER_V1,VUE032,128,1,1,1,1,1,1,1,1,1,1,32,7,128,12,11
VALIDATION_SEEN_AFTER_V1,VUE033,64,1,1,1,1,1,1,1,1,1,1,31,2,60,12,10
VALIDATION_SEEN_AFTER_V1,VUE033,96,1,1,1,1,1,1,1,1,1,1,31,2,60,12,10
VALIDATION_SEEN_AFTER_V1,VUE033,128,1,1,1,1,1,1,1,1,1,1,31,2,60,12,10
